y,pctile,accuracy,false_pos,false_neg
mean_vote,0.1,0.8518141051773339,0.41569767441860467,0.06476852858074332
mean_vote,0.2,0.7587476979742173,0.3861766319253977,0.11194909262314401
mean_vote,0.3,0.6876695180471522,0.35577658760520275,0.15424374319912948
mean_vote,0.4,0.6479508196721312,0.2623635195889531,0.25861079219288174
mean_vote,0.5,0.6467436108821105,0.23000567214974477,0.2970394736842105
mean_vote,0.6,0.6962750716332379,0.15471698113207547,0.362839248434238
mean_vote,0.7,0.7561279601163273,0.10913888222595347,0.3952721275426058
mean_vote,0.8,0.8489863467107985,0.0659798334064007,0.4281437125748503
mean_vote,0.9,0.9378565607171964,0.022632020117351215,0.4467120181405896
profit,0.1,0.8503688092729189,0.4752475247524752,0.05174353205849269
profit,0.2,0.6952479338842975,0.44835680751173707,0.12425328554360812
profit,0.3,0.6238244514106583,0.37570093457943926,0.20332480818414322
profit,0.4,0.5979166666666667,0.3016129032258065,0.2741046831955923
profit,0.5,0.6204162537165511,0.25480153649167736,0.3011456628477905
profit,0.6,0.6857142857142857,0.1694915254237288,0.35157894736842105
profit,0.7,0.7360406091370558,0.13333333333333333,0.3654320987654321
profit,0.8,0.8356435643564356,0.08983957219251337,0.34024896265560167
profit,0.9,0.9117043121149897,0.04439746300211417,0.38596491228070173
